#,Name,Type,Category,PP,Power,Accuracy
1,Pound,Normal,Physical,35,40,100
2,Karate Chop,Fighting,Physical,25,50,100
3,Double Slap,Normal,Physical,10,15,85
4,Comet Punch,Normal,Physical,15,18,85
5,Mega Punch,Normal,Physical,20,80,85
6,Pay Day,Normal,Physical,20,40,100
7,Fire Punch,Fire,Physical,15,75,100
8,Ice Punch,Ice,Physical,15,75,100
9,Thunder Punch,Electric,Physical,15,75,100
10,Scratch,Normal,Physical,35,40,100
11,Vise Grip,Normal,Physical,30,55,100
12,Guillotine,Normal,Physical,5,—,30
13,Razor Wind,Normal,Special,10,80,100
14,Swords Dance,Normal,Status,20,—,—
15,Cut,Normal,Physical,30,50,95
16,Gust,Flying,Special,35,40,100
17,Wing Attack,Flying,Physical,35,60,100
18,Whirlwind,Normal,Status,20,—,—
19,Fly,Flying,Physical,15,90,95
20,Bind,Normal,Physical,20,15,85
21,Slam,Normal,Physical,20,80,75
22,Vine Whip,Grass,Physical,25,45,100
23,Stomp,Normal,Physical,20,65,100
24,Double Kick,Fighting,Physical,30,30,100
25,Mega Kick,Normal,Physical,5,120,75
26,Jump Kick,Fighting,Physical,10,100,95
27,Rolling Kick,Fighting,Physical,15,60,85
28,Sand Attack,Ground,Status,15,—,100
29,Headbutt,Normal,Physical,15,70,100
30,Horn Attack,Normal,Physical,25,65,100
31,Fury Attack,Normal,Physical,20,15,85
32,Horn Drill,Normal,Physical,5,—,30
33,Tackle,Normal,Physical,35,40,100
34,Body Slam,Normal,Physical,15,85,100
35,Wrap,Normal,Physical,20,15,90
36,Take Down,Normal,Physical,20,90,85
37,Thrash,Normal,Physical,10,120,100
38,Double-Edge,Normal,Physical,15,120,100
39,Tail Whip,Normal,Status,30,—,100
40,Poison Sting,Poison,Physical,35,15,100
41,Twineedle,Bug,Physical,20,25,100
42,Pin Missile,Bug,Physical,20,25,95
43,Leer,Normal,Status,30,—,100
44,Bite,Dark,Physical,25,60,100
45,Growl,Normal,Status,40,—,100
46,Roar,Normal,Status,20,—,—
47,Sing,Normal,Status,15,—,55
48,Supersonic,Normal,Status,20,—,55
49,Sonic Boom,Normal,Special,20,—,90
50,Disable,Normal,Status,20,—,100
51,Acid,Poison,Special,30,40,100
52,Ember,Fire,Special,25,40,100
53,Flamethrower,Fire,Special,15,90,100
54,Mist,Ice,Status,30,—,—
55,Water Gun,Water,Special,25,40,100
56,Hydro Pump,Water,Special,5,110,80
57,Surf,Water,Special,15,90,100
58,Ice Beam,Ice,Special,10,90,100
59,Blizzard,Ice,Special,5,110,70
60,Psybeam,Psychic,Special,20,65,100
61,Bubble Beam,Water,Special,20,65,100
62,Aurora Beam,Ice,Special,20,65,100
63,Hyper Beam,Normal,Special,5,150,90
64,Peck,Flying,Physical,35,35,100
65,Drill Peck,Flying,Physical,20,80,100
66,Submission,Fighting,Physical,20,80,80
67,Low Kick,Fighting,Physical,20,—,100
68,Counter,Fighting,Physical,20,—,100
69,Seismic Toss,Fighting,Physical,20,—,100
70,Strength,Normal,Physical,15,80,100
71,Absorb,Grass,Special,25,20,100
72,Mega Drain,Grass,Special,15,40,100
73,Leech Seed,Grass,Status,10,—,90
74,Growth,Normal,Status,20,—,—
75,Razor Leaf,Grass,Physical,25,55,95
76,Solar Beam,Grass,Special,10,120,100
77,Poison Powder,Poison,Status,35,—,75
78,Stun Spore,Grass,Status,30,—,75
79,Sleep Powder,Grass,Status,15,—,75
80,Petal Dance,Grass,Special,10,120,100
81,String Shot,Bug,Status,40,—,95
82,Dragon Rage,Dragon,Special,10,—,100
83,Fire Spin,Fire,Special,15,35,85
84,Thunder Shock,Electric,Special,30,40,100
85,Thunderbolt,Electric,Special,15,90,100
86,Thunder Wave,Electric,Status,20,—,90
87,Thunder,Electric,Special,10,110,70
88,Rock Throw,Rock,Physical,15,50,90
89,Earthquake,Ground,Physical,10,100,100
90,Fissure,Ground,Physical,5,—,30
91,Dig,Ground,Physical,10,80,100
92,Toxic,Poison,Status,10,—,90
93,Confusion,Psychic,Special,25,50,100
94,Psychic,Psychic,Special,10,90,100
95,Hypnosis,Psychic,Status,20,—,60
96,Meditate,Psychic,Status,40,—,—
97,Agility,Psychic,Status,30,—,—
98,Quick Attack,Normal,Physical,30,40,100
99,Rage,Normal,Physical,20,20,100
100,Teleport,Psychic,Status,20,—,—
101,Night Shade,Ghost,Special,15,—,100
102,Mimic,Normal,Status,10,—,—
103,Screech,Normal,Status,40,—,85
104,Double Team,Normal,Status,15,—,—
105,Recover,Normal,Status,5,—,—
106,Harden,Normal,Status,30,—,—
107,Minimize,Normal,Status,10,—,—
108,Smokescreen,Normal,Status,20,—,100
109,Confuse Ray,Ghost,Status,10,—,100
110,Withdraw,Water,Status,40,—,—
111,Defense Curl,Normal,Status,40,—,—
112,Barrier,Psychic,Status,20,—,—
113,Light Screen,Psychic,Status,30,—,—
114,Haze,Ice,Status,30,—,—
115,Reflect,Psychic,Status,20,—,—
116,Focus Energy,Normal,Status,30,—,—
117,Bide,Normal,Physical,10,—,—
118,Metronome,Normal,Status,10,—,—
119,Mirror Move,Flying,Status,20,—,—
120,Self-Destruct,Normal,Physical,5,200,100
121,Egg Bomb,Normal,Physical,10,100,75
122,Lick,Ghost,Physical,30,30,100
123,Smog,Poison,Special,20,30,70
124,Sludge,Poison,Special,20,65,100
125,Bone Club,Ground,Physical,20,65,85
126,Fire Blast,Fire,Special,5,110,85
127,Waterfall,Water,Physical,15,80,100
128,Clamp,Water,Physical,15,35,85
129,Swift,Normal,Special,20,60,—
130,Skull Bash,Normal,Physical,10,130,100
131,Spike Cannon,Normal,Physical,15,20,100
132,Constrict,Normal,Physical,35,10,100
133,Amnesia,Psychic,Status,20,—,—
134,Kinesis,Psychic,Status,15,—,80
135,Soft-Boiled,Normal,Status,5,—,—
136,High Jump Kick,Fighting,Physical,10,130,90
137,Glare,Normal,Status,30,—,100
138,Dream Eater,Psychic,Special,15,100,100
139,Poison Gas,Poison,Status,40,—,90
140,Barrage,Normal,Physical,20,15,85
141,Leech Life,Bug,Physical,10,80,100
142,Lovely Kiss,Normal,Status,10,—,75
143,Sky Attack,Flying,Physical,5,140,90
144,Transform,Normal,Status,10,—,—
145,Bubble,Water,Special,30,40,100
146,Dizzy Punch,Normal,Physical,10,70,100
147,Spore,Grass,Status,15,—,100
148,Flash,Normal,Status,20,—,100
149,Psywave,Psychic,Special,15,—,100
150,Splash,Normal,Status,40,—,—
151,Acid Armor,Poison,Status,20,—,—
152,Crabhammer,Water,Physical,10,100,90
153,Explosion,Normal,Physical,5,250,100
154,Fury Swipes,Normal,Physical,15,18,80
155,Bonemerang,Ground,Physical,10,50,90
156,Rest,Psychic,Status,5,—,—
157,Rock Slide,Rock,Physical,10,75,90
158,Hyper Fang,Normal,Physical,15,80,90
159,Sharpen,Normal,Status,30,—,—
160,Conversion,Normal,Status,30,—,—
161,Tri Attack,Normal,Special,10,80,100
162,Super Fang,Normal,Physical,10,—,90
163,Slash,Normal,Physical,20,70,100
164,Substitute,Normal,Status,10,—,—
165,Struggle,Normal,Physical,1,50,—